,0,1,2,3
14,17 Miracles (2011),-,,
15,2 Days in New York (2012),-,,
16,2 Days in Paris (2007),-,,
17,2012 (2009),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYkIo5NbkZMtRFxaA_oKOmtCT0a6xWD-zTLnLsGaj4O99X_AsEv1CmOdzBATeJQGuL-5OqdEMEd%0D%0AxKcl5wW2p-cM7tM1Z58b5UVMUnd_M5TiSgZsWh4JQAL-fDjr1TKt8jAgdzFgoCpohBjRRi0qxTXm%0D%0AaRsLuZvsMyfGslgphYJo9VD0jYrIqgcuOkY1xMKomLUYMIeS39Ll1YNWYJj8_Nsjm2O4tDFkUyff%0D%0Adplu1P6ewtGp-4kKtKKiHXxZ04054Pkpj9U5z4drxQZuJvOLRaND7A%0D%0A&ref_=tt_pdt_ofs_offsite_0,"17,753,550 people like this","17,383,035 people follow this"
18,21 (2008),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYnqU6rQJ53MwfL-7MxZNzxcatVYc7C-38jMae4NjjSBLPYUgL7qaP9W-SOIGHdDSrbwYCjf9Tm%0D%0AnS54pct4brHe_zm0jV-57OffKZALh1-9nreaAZi6GsJZnHd-KlFIXYlRpq9yQJ4vYl75lAfrp-b5%0D%0AL0Nn-ZeCa1MxcBBtYEFnA03qxV6hrXEfuviXSnTlAJsoWA4Tgl1D96UzJzj31W_HECRehBoPN14x%0D%0AVmiBAcr3HLQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,"841,497 people like this","824,605 people follow this"
19,21 & Over (2013),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYi855FuMxmcTChbblgYO1ga4hJleexurjiOtAkIYyoXstLm3RkU8F7GZlqNAgRkC1yx2ZzRo2A%0D%0A_Xb6SUWlW4IyBG6-aOd85dKBqg8x4Ln2I1SWzbA43hBYE7YIV2EXR8kzmrupS7GSs4-TlBZjb27V%0D%0ApXFjQ7hBP-Y50J6GEwffLZxNbf6Ybo0p3Bc9nFXC084xWTO0m5GVLAjUqXQEOUWR3IiNU3KAzPmt%0D%0AACL3RSXfVAo%0D%0A&ref_=tt_pdt_ofs_offsite_0,"519,964 people like this","513,566 people follow this"
20,21 Jump Street (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYlgYZKjR6YPxKuBNyIKTEsU6QaZH-3E-etRnaF4gF57bg2ev3xuwkK7XrKX_oFgl5Mc8xxFln8%0D%0AlxUNsm7EjAVVIo2I2r63B4HoHMpE_VFXfxkKBWTozDS05gcqkPZARDnEV0z9qpceiuTGEJJt1V1D%0D%0AR0D_nA-Lm7Z0hsx8pACG0_dRIflUpDkd_vg8bo4sShBzHcKEG5okXo8V885lEIxu1uRaPY4j6MPc%0D%0AAn6ml0QOz1E%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
21,27 Dresses (2008),-,,
22,28 Weeks Later (2007),-,,
23,3 Idiots (2009),-,,
24,"3, 2, 1... Frankie Go Boom (2012)",http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYpsulvJKHIL3m0YVOHs8wu5yKleKy_jkMsm-tmOdD8nQ6e5f9JltIUkfAEpAiGQuTO7-iMWiGi%0D%0AJ0W-CIwnKHLrjsEPrtfo9Rw_y6yIACv-ElVEMqWlPfc3653yxKiPL9a0ph9-FwGt7LloEYjUgrHd%0D%0AqowTBoj949QaMQYNUY1XZY3gLMSA8NX1g98IL7YofVSGVK0W9LhuC3VY6uMvzcHt0yuJLvsjFXTp%0D%0AX5gx2ogPNAs%0D%0A&ref_=tt_pdt_ofs_offsite_0,"4,284 people like this","4,145 people follow this"
25,30 Days of Night (2007),-,,
26,30 Minutes or Less (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYvh3SuJvQRBNwyOzAsdcSsdUEJkZ2Vj2Gp_gFOIWYUk_5qsnS3vjeZAYVBSmDB5VplCFVDL5Jp%0D%0AbsZx_tr-aMJiYDy2K0vsx_yNQ2xVNpc9CczL7B95Z-aaIHf--UtDpwG2fDGsHtiqLSdYHu9TlxFX%0D%0APZSox11Dhesp9DUoL4K9RL5nOCAnQ6h30twdR9ZlkkO3EsQfD_YFBT4z_W9WI0U1gUCnI--LDjGK%0D%0AO0H57PBuWLg%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
27,300: Rise of an Empire (2014),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYrAHG8lPSJlJQBeuGlqBM1y-jU6pKSteXoIItDvTf_t-T0TO5gHGV6RsWytYDRd55GB_x6mnxS%0D%0AkCJKw7q4CZA6CvaeTkY9b8rBt14lI2MonYaqVux7mzJacfB85d4cx8JRZrd1GZ4ZbOJeq2y7irnH%0D%0AaNUorG0LYIS5cGZuwJ1WFXqPWoZjw0d7j_-d7rlqzmonfYvtCTKKcP0EEuTmxrTyICSjqDLqPnnP%0D%0AhwlEiskNBaE%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
28,360 (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYogREXR6vGUc69ZtrhgKrYLzZv4hy3qo2gD0IPA_yQH-DyOVCotYLno0pb-uoiQjqApdqzaLPV%0D%0AQMoWFClMEO7eFHImcHa-KyXS4u98qCGIqgyE6ejSwBQ6nCb4-Zd1fv2mrz73T8LiNrn3iQ0WsbiU%0D%0Acodex_MMGZpyQtC9MZgwcgkP1psprkQktRJqmkGc10DPIUStKUD3SVIvduIYI2a_enPw-svsMRuR%0D%0AssHQo3zISfU%0D%0A&ref_=tt_pdt_ofs_offsite_0,"19,337 people like this","18,646 people follow this"
29,3:10 to Yuma (2007),-,,
30,4.3.2.1. (2010),-,,
31,42 (2013),-,,
32,44 Inch Chest (2009),-,,
33,4:44 Last Day on Earth (2011),-,,
34,5 Days of War (2011),-,,
35,50/50 (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYqiPbamKeqdFfByFLdDjfAJc5Imoh_krHV_1IHJbxrI3m55B522VCH0QsN63WB5B3uxEjHy0Fw%0D%0A2p1j1zrYd9Ll1F2MFNQn4Sd7tNZv8lUi45wUQfAwtxhtjnKF0xD9qtpfnjBpA0t_tOAZ2wBdseoB%0D%0Azmnl4tk9XLr-HSJgwEh4LN9WPXUUqBsFnv_mv0V9mO-jHaaRZZ2UP26z9qa5SUomMAcmUF0ZXEwx%0D%0AuI8p8n0ccJI%0D%0A&ref_=tt_pdt_ofs_offsite_0,"559,002 people like this","538,819 people follow this"
36,(500) Days of Summer (2009),-,,
37,5th Annual End of the World Tour (2007),-,,
38,6 Bullets (2012),-,,
39,6 Souls (2010),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYnkGdTvo_LhzlLRkiZx2cLfpCa1KJoR2nG1oe0DuJ4YauTi9-FO5kCljAGiaSLaX21G5s46tpm%0D%0AHWmYu4u2jrFUysF1BxUZzn3PmrH_A6m9rpbUS3vZu0z9kkuduUaGIN3ECIePuzKCKIazBHylOeRv%0D%0AEO_EGl2p8U02R81adcjtgorDcXlQMSLr7aOGf9uH8PIOA9HHZOAJHvkk-Kw5gI-aw9Sp2myv8IxB%0D%0Abue4V3VRDBE%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
40,7 Below (2012),-,,
41,70th Golden Globe Awards (2013),-,,
42,88 Minutes (2007),-,,
43,9 (2009),-,,
44,96 Minutes (2011),http://www.imdb.com/offsite/?page-action=offsite-moviescoremedia&token=BCYjEbeiORdykxcswHjlay0P-tkk0kAEBKEBCq0_LXabaiWuyopVjOtrg_MkVtprxzN0vrlaMuag%0D%0A4MzXYXi_ne_7fnszt6xtU7jqcHSP9hHXirZhG-RVUNr2CRpAIGggNKq-xqn3AaHs8QWXpnSvoqP4%0D%0AQ87yDklCWpxPAdnHJif6F8vKMGm_0zZDa7-YimBxLviwIBNw4_9RzcWE_etGIh7HPmpzZ6XiusI0%0D%0A4JS45NtJaC4%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
45,A Bag of Hammers (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYp6aHk83XExYA1VACNoBteYC7ukQQOOVqKCBBoSDJROlSgrj2AVFeWKklLX9QnbNU7lSMfx_-7%0D%0A_IJyU7Ajc4RNd34SjXJV325RP7HrdDUGXA7ZPIuc3cWl0v1jdEip69T63LcaMC-SCLu-bu1XmcY8%0D%0ADsA-gWA2FaepcT2RFuiscrGr0Vs3QNPzvDx10EwwwLwno9nGy-L-23AG-g_7X8FXNFxCT3mBp5Kq%0D%0A_qm0yB7aeWMy1nJ0wGj48SWcZqNuPvEz%0D%0A&ref_=tt_pdt_ofs_offsite_0,"2,384 people like this","2,310 people follow this"
46,A Better Life (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYgjhWqeuO_T57XoXHyyx_EaLKUgrMXv1tcu3VniM5fqyzVXHsS-vQhMzZqa_95IkHFVmfyMuVm%0D%0AkuOWBqhgD0EiuEcAsPiR_xTY6CmMY4TLdM7yBKYlg5DAS3yD0BXH11OrjWMIDrK71ZUINt_OLuvY%0D%0AT_w1n0y1dwA9zu4WWjJ-CfczvoAa4zE9T1vXBZdca3LLDURgh8nsFQiEgmYxIzozKVck4g7qpbGw%0D%0Aw6zo_bCqBjKtDsAOwMP2Tnpa0_qiZF1u%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
47,A Bigger Splash (2015),http://www.imdb.com/offsite/?page-action=offsite-luckyred&token=BCYtLcyJfVLoUXsbbjgoMgN7j98FoRD5PDDxfwM38Da0zuJfaRxKdDdTwiogDgXTBlsbQNDowMk-%0D%0AKl22fKxL1Ky4mwzt6o14m-l11Ip92OpuzeFz9fywNWPyp6OMoGZg_SdThbQ_OWPAP2_2iKwc_wGB%0D%0AY5sNvZm7SM2GAdB4XaRtj1AJUbJHv48148mLdfIPm-LwWAzABNawNe8UCFqBGnW6BP6-4RlobzMx%0D%0ADnbNe-DQyjM%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
48,A Christmas Carol (2009),-,,
49,A Christmas Wedding Tail (2011),-,,
50,A Dangerous Method (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYs-YtzNmIncUCAduiDhg4JCXoyZVCnNtq7q3JGvbCzSUF-OFcGQv2Q9CFPQKeLiibI7iC0FbSx%0D%0AUQn486gRDk4c88JVxQEoGeDymNDLBUVCx9oZTSrM8Il4DE6F0gzHQ2L7eI_M-ZTiFTWxRopK7KP_%0D%0A44cHsYYHPMzPFhhvFs0DEl5NBcJOcm6ZtR9cFrMyZr8OdI1naY939XQmvL0HOaz4N_6zujU6f_nC%0D%0AXVk5Yxxr7z0%0D%0A&ref_=tt_pdt_ofs_offsite_0,"468,539 people like this","455,571 people follow this"
51,A Dark Truth (2012),http://www.imdb.com/offsite/?page-action=offsite-magpictures&token=BCYq3EGqgg6SNOynGpjXjsm2SoeG8EuVl-Vf1yTQkFJlQdl9ZE_9y5S8mM1glZQSo0832UK6lwbh%0D%0Ab6gmzZb3XXhMfWZkDNSCo_vWURVKd0nRJRWuWbOpd9aMp2OZms9b9BHfIE0kqikK6MOhVFe8a1bJ%0D%0Ak2daIZRxtSsmS2kYIBjETPgj9r9zML7_1JcADwN_-UP3a2C6sqtlr53PmwUkyr57x010JjTu3Kcl%0D%0ARkiUvwU-idc%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
52,A Fantastic Fear of Everything (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYhE7ajjSzsqGB9Rd2Ky8gKY8I_9s_81VAEATTgL5-jPqOnqbd6OZZj5fEQ4mn75AWx4kHYa_5q%0D%0At1KZtx42VEhlf0d8T1nQWYBTzdIq1l4uFP0sgYIP3Sx9qAgkjsB_PgsH7gsJFodwDLiwYbTJEn5R%0D%0AXncgXg80JjwaA902W89d3DUM01GRfwfkC6NYoGajaGzzItI8UBhvf-fEipiYpWOiBjX52SI2dtEl%0D%0A7v-vzo3Z-wd46wde1XsKxPI0PhfRqWsZ%0D%0A&ref_=tt_pdt_ofs_offsite_0,"4,509 people like this","4,371 people follow this"
53,A Few Best Men (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYoCAqQkgdXpUSPvqrKtLik3_dbsb2Rlf6PC6yGxGi9D7O6Dip6kJy74b_HXd1dABpBI3DRRfKj%0D%0Aue7ger1clb7ntGSk96mHi_50VTA6LPEnb_r3BXFInOo71BQD3I7yNB7KE5WOcCAJInxFX-H_jL3P%0D%0A3wsNW6zOu4b-9v_8WyUuX_6JN3hx7k-rLnB_hlv21U_XwUdX70jc26ppciUxfXGvBFtG_v1ccVVA%0D%0Ad1N3amphgd0%0D%0A&ref_=tt_pdt_ofs_offsite_0,"1,481 people like this","1,449 people follow this"
54,A Film with Me in It (2008),-,,
55,A Glimpse Inside the Mind of Charles Swan III (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYvD5LfPzOsOmqSksrDJCMZy99wgiN-5vDK9i_nxbnzSoJ6W2U1LiSuOT_RTG1lsTglBeEPh7Cj%0D%0A66cE10MsbZpA9CVD11v7tlSoV23kmcWJpqxbcLvOg39EdH1QODjfn7PETD4AdFmWWUmKWsBFSsN5%0D%0ApSbFL-XesMina8d1_FaaK_xETG7NPJmhIeolvIH0x7VAICZG_fEhT4zDQG58HpeWjsFMR7JL1sOJ%0D%0ADstsphLzryc%0D%0A&ref_=tt_pdt_ofs_offsite_0,"10,787 people like this","10,611 people follow this"
56,A Good Day to Die Hard (2013),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYu5icpI6D0pJh4BsFNtUHMCdW2LADKTK3we39BWagGWMjl02_P196CbliAu3RiKYyOY4uTQfPe%0D%0AbU4a654Y37VATqkjlvTUQkeLFG1sebBWqyFcDDGcQJeWEVyzswYCnC_25LGae4Nfe0vpqkxdMELF%0D%0ATGxf-r1jCv0D_his88qaacsIVA7nTA8Yx3McEhlXwk3cYmq5nBjB0VxPTe67RPjjBWkgGLEJAhfQ%0D%0A73jAHDF39h0%0D%0A&ref_=tt_pdt_ofs_offsite_0,"2,675,970 people like this","2,543,253 people follow this"
57,A Good Old Fashioned Orgy (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYnK1wrG_lW1CVTGl25X57uCvWtY49v4Xp6dY3ilsC7N2IgghAbNeLKXxrSeRN_ADiblUu1jTn4%0D%0A2RI5tpm1cIlMTEc5qEi2hllUZTiqLbt3JYxXs7ADkElaMrsCSjYZl_Q8Qnr_d79uYqYxHBGuomor%0D%0AEliY_AcKOyWibFxZB50PAw89fQLOew8w41tY5loSR3BgrdCAdlkUOyLE3KYglk7IleAoOavO2IiK%0D%0AScYr92jt9Aw%0D%0A&ref_=tt_pdt_ofs_offsite_0,"15,030 people like this","14,461 people follow this"
58,A Haunted House (2013),-,,
59,A Haunted House 2 (2014),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYl2oakKEAVi31yHewDgR6k9ZQPbniZ1w-E79-d_WXmI8duXthbT9AXgB007fcVb3954-8ADLvN%0D%0A0YLOykWwSCmJBZpsVn-e8snTom3_52-aGs6q7mZnvxZ_3CFYHUoDCeM89HXbWp4hU9v6j-6t_gx9%0D%0A2FUgsq56s0jODjXRZxtTqoMFp_JU_nPnZE32QFNckMNxhcaRU6dmOlmw15CX2dn_zCnu2m8bWQE-%0D%0AxbvjxFGMBiA%0D%0A&ref_=tt_pdt_ofs_offsite_0,"2,318,273 people like this","2,293,491 people follow this"
60,A Jersey Christmas (2008),-,,
61,A Kind of Murder (2016),-,,
62,A Late Quartet (2012),-,,
63,A Little Bit of Heaven (2011),-,,
64,A Little Chaos (2014),-,,
65,A Lonely Place to Die (2011),http://www.imdb.com/offsite/?page-action=offsite-moviescoremedia&token=BCYiw99tE-haAP0LHyhR-eXU-j6b_Bx69sUwpJe5wo4_3d22q4j1RVexIuf8ZWaHV-3HIY5f6rCf%0D%0AVf0ci1h7MNsVkrID5aU6cgFOkiRb9gklsRRuujebnrmphLqVcjTmQV6fAZDKb4Kd36s6LcnqkZWb%0D%0AvePk61Yr7fx6bAMU5YGWPw9ILXO7wxZ4482URwLtYe3pDWxFg2X-VURH5oH34rQM-OzstEs05QcH%0D%0AW5h0Ifve_XOin1bceDPHAZDsTDyGLgHs%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
66,A Matador's Mistress (2008),-,,
67,A Matter of Taste: Serving Up Paul Liebrandt (2011),-,,
68,A Mighty Heart (2007),-,,
69,A Monster Calls (2016),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYlAcstWGJwWuQFRLDRIj8weUVajsJB5q0wODvr_TtsYEv3C-VaOZd43qF4f8oijFtmH45wQwk-%0D%0AhtPP6V1cvnGNV995PbNqQ6mFTolT4w3rGbOALx1VX3rWYbou-2-qdPBaMhawpus2ofKLwYSAj3eS%0D%0AEAP4sPFHNPHPeSQnK2C1Y8eRKxBaQpTwKL4eKsNOFiKNdcGX5F9zizvrJROoam2LwqlfJ6nExCyR%0D%0ArTWdXDunRlsnbIooci50hsU-sfEFMkaQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,"68,647 people like this","70,070 people follow this"
70,A Most Violent Year (2014),-,,
71,A Most Wanted Man (2014),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYrKl-QK_QRmoDmMpDQRTMexb8htRPWEJY8A3zstiOZVwS-iLnCw0Y3aXpnSB42M6lnVSov7G4w%0D%0Apvdf3T1iXlMG0sBNJaMiKKRn1GINwTv6ctAhtst47rgPc6843OyAO1oK48WmlzDmX34_k6aTR0bf%0D%0AQSKKm4oL_mN2EhW4zacOOGMdvOF6ZEur-beE1W_-nFDCy_H5lKZZCbDent319uMw_qawJ6QUn6s-%0D%0AkdgJot32w_k%0D%0A&ref_=tt_pdt_ofs_offsite_0,"50,395 people like this","49,388 people follow this"
72,A Nightmare on Elm Street (2010),-,,
73,A Perfect Getaway (2009),-,,
74,A Resurrection (2013),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYj_62Etd0RiEYuOAOE90Yg1XufrZcE3itoi0LMkJWXF3Th2Vs_VS5Q7Yd-esQuVRufYNYIJRam%0D%0AOXcnAYJUXSLo6Tk9RFFRITB1o6PZAqCKheqCk00FlCKqvFo83hY0FsYGPmTQq1YhGoPWta-B39ep%0D%0Abiqh7eTRDpqLqPoX-31xyD6gX4A25gfJsiUxUBFtzKVeiBwqgh8SIz7GyASlfPrIOD4Hkg1SzgBa%0D%0AzshCcxHKApo%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
75,A Royal Affair (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYjR2qSNGGCIv-f3-8KA3xCKQVd1NgiunR1LYIlzsw_gMrzSiK47fkEBxqJvgcwyRRRjecx7BbV%0D%0AV5ZM0yDc_Bj1lGv4fu3gzEViS9OWcv8a9mcQhHu8p3xBVBf9ZcIiekKM3Vb3WNMMH2zKhTx0IOx5%0D%0AUdUNaXXokA5Kfq7eifzO-SQno4CxL9Z028F2ZF9datciIQiagiL10npQCBGWykEAFPEQ5fzvBfSy%0D%0ACFUSWIKdO2A%0D%0A&ref_=tt_pdt_ofs_offsite_0,"6,645 people like this","6,338 people follow this"
76,A Serious Man (2009),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYr8o_PB68PUHgbTyGX94YbV5NXfy_yhS17YRBoSi1NSLrDOLCdl0ycUOFyK9wzdPmWdG2FOwI-%0D%0AHio-iB8X18DyJORZqWtPEr9rCwcT2uJPKqxFN66alSpPPkgoEJmoOlb2_W4Fr9eTtuLbPAeJD_WG%0D%0AiXbEyp98rAywTroEjqAL1Q0e7APTJ7cwXNhngB65BP1Vg88eFXd1F3obhVhdUkvLLTfie2KPs2rp%0D%0AVRml_YT3vNE%0D%0A&ref_=tt_pdt_ofs_offsite_0,"65,561 people like this","63,277 people follow this"
77,A Short Stay in Switzerland (2009),-,,
78,A Single Man (2009),-,,
79,A Smile as Big as the Moon (2012),-,,
80,A Thousand Words (2012),-,,
81,Sammy's avonturen: De geheime doorgang (2010),-,,
82,A Very British Sex Scandal (2007),-,,
83,A Very Harold & Kumar 3D Christmas (2011),-,,
84,AFI Life Achievement Award: A Tribute to Al Pacino (2007),-,,
85,AFI's 10 Top 10: America's 10 Greatest Films in 10 Classic Genres (2008),-,,
86,ATM (2012),-,,
87,Abduction (2011),http://www.imdb.com/offsite/?page-action=offsite-abductionthefilm&token=BCYv39E--zrQbuWFRtl846wuPJJqIslRvuTTCYK8CZbws3lXkvVHxg2zaoIByXzVSi0s8wcd1HM6%0D%0A32GfNLT6S1LW8v9zaSkafPpr87mZEkkKIWfHX6xFOEpmRB01yO4cMwVFy31XxpSfLel3ZRgXJo2B%0D%0A7BjeHVxPjnaOgZARxpjK-LZ0kCl8Y0f4VIxTEK-3QMAf3F7ow4p3wOMoiILqkT5I9gvPU9TXa2xt%0D%0Alv2EuI3RmrQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,,
88,About Cherry (2012),-,,
89,About Face: Supermodels Then and Now (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYrIBMhwpTBScUUv-NnYnnrmohPs2OBQS-2I-Kr7bRXfC1yoKmgZ53ApBaYeBbbcYly13MZej-m%0D%0AKKX1dyv1hRKqZGqOcMsYlQbHkNqftt3y7opj-GsBml7qh9Mr815dePopc9Q84NvHmQeljKbrZtIY%0D%0AHRjo8xUY7A9M7TcoAQQVTLpgRYy2NwzHqB8aJn_ckCtfJD2ufe-dbb4GgxB4y3YU2nXMSZmNWAKV%0D%0A4ucQqFAzvqU%0D%0A&ref_=tt_pdt_ofs_offsite_0,358 people like this,353 people follow this
90,About Last Night (2014),-,,
91,About Time (2013),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYn1IxIqj1OlZGvNiF97Ecr1tR8BHiQ09gOwViAXnvOCpplPkg1pPa49P2Zw8eQuaJIYNDSGWbu%0D%0AAJjQT18N-6LJyJBA_iwvLttjAGmgLF-tI-tfpuxxJzPFfJL5Z2anD1JJhN0HpeEe50Ej7xo8k6i-%0D%0AgR3m77G1lHflpC8UZcRdEnlPLEbipDi19xIfqQKX70862230DlCuGVTuNNYI5wSIvt8bsNXgGgC2%0D%0A-S2edCJFuiQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,"429,004 people like this","420,143 people follow this"
92,Abraham Lincoln: Vampire Hunter (2012),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYi3EB6_E6D2MWeEkG6kS7eOJhyM1BMlYxgRkyLz_9q9ptVA_zS7qZlvS6TGafkm2rAkuCYUvwi%0D%0Apn2NHJRZgQmTrOytpOofBkJoNyyVlnyBuOxfzWJh0hKdvugJc82JOfpzfGd_YNV7LzbUF0JXMMGY%0D%0A65mEbQB4mmtJxQryaCAfWghOyr3lcjKV4zy1I1NVCP_MWL1QzUpleq-jrrLVUrYr0xcRh3Ds3k3B%0D%0Ad5THpycP6kM%0D%0A&ref_=tt_pdt_ofs_offsite_0,"358,691 people like this","346,708 people follow this"
93,Absentia (2011),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYjwdYfFQsPglxT8qCu2ozsE9v0baGBNf2ETjnS4bloFmhZuumXmcfYMwSmlDQ42r7Wgb48R0_p%0D%0AfdM_3LR0WPTscVczt08UrSqqVKxnXVh82Fs7fob4rIDmVR4QuHPiSQoUYC824InL08i1ioWwbjh9%0D%0Ad7IBmRmq83-0QL6xY9NJSwDyz5o65xVCQHG7Xum3jH2UWNgflbPIEPTQRJVX9SY6Wu7R3T_6qu36%0D%0AR58LQ92zgouwzdd-rSoWaqhIWf1D5Zh2%0D%0A&ref_=tt_pdt_ofs_offsite_0,"4,165 people like this","4,018 people follow this"
94,Accidental Love (2015),-,,
95,According to Greta (2009),-,,
96,Across the Universe (2007),-,,
97,Act of Valor (2012),-,,
98,Adam (2009),-,,
99,Adam Resurrected (2008),-,,
100,Admission (2013),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYtrczDTj3HHSrq4cWhtMjfQ5fgQypKZToFJrIjLztPb5nA_sHSjRriY3vyAgkZ2nX_IgCG_xtC%0D%0A740E88bUV1EWpVsjlBrj33YG9pA0wlNHP_j8QJtr38vfPm-XEvD2Q74g2I3PXTVK2YWtFB5ZKjXj%0D%0APg5LnoyWoO1_J5Vjv42FdHQsy98EVytJwVbPsA37m0SLf4WJWconysP_jDD4txR8uuEhMgIzaqG3%0D%0Au9iVglYAn9o%0D%0A&ref_=tt_pdt_ofs_offsite_0,"34,485 people like this","33,591 people follow this"
101,Adulthood (2008),-,,
102,Adventureland (2009),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYsqY7Q6YJiYiZ6J8JEJuzUD6RJYB2nWdJtIqRj58MvcK4IQxa4EViDYEc_T51_q0d-631ufZ8-%0D%0AfGqCAQ7GNF7EVzWk6_wbWeB92vtE_eEGwSoUBp3NNR3f-JWP3HPQaDw-hkiVmiwg-aDA-fQ4Uq_v%0D%0A3KYqWCOUFlxR_QggKITjpO-Kfu4HjivQ56yNGa8nS2sLcriqF_2crH9hNqU3es_vhrN6hEGaR4Xp%0D%0A6yx5p8tjwLI%0D%0A&ref_=tt_pdt_ofs_offsite_0,"166,041 people like this","157,109 people follow this"
103,Afro Samurai: Resurrection (2009),-,,
