,Title,Genre,Datepublish,Rate,RatingCount,Director(s),Writer(s),Actor(s),Summary,Description,PlotKeyword,Time,Color,Language,Budget,Gross,Facebook_link,Offcialsite
11,1408 (2007),"['Drama', 'Horror']",2007-06-22,6.8,"231,347",['Mikael Håfström'],"['Matt Greenberg (screenplay),', 'Scott Alexander (screenplay)']","['John Cusack,', 'Samuel L. Jackson,', 'Mary McCormack']","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","The cynical and skeptical writer Mike Enslin writes books evaluating supernatural phenomena in hotels, graveyards and other haunted places, usually debunking the mystery. While writing his latest book, he travels from Los Angeles to New York to spend one night in the Dolphin Hotel's posessed room 1408, which is permanently unavailable for guests. The reluctant manager Mr. Gerald Olin objects to his request and offers an upgrade, expensive booze and finally relates the death of more than fifty guests over decades in the cursed room. However Mike threatens Mr. Olin, promising to sue the hotel, and is finally allowed to check into the room. Later in the night, he finds that guests of room 1408, once they have checked in, might never leave the room alive.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['concussion', 'paranormal phenomena', 'self sacrifice', 'death of daughter', 'hotel']","Runtime:
        104 min
          |
        114 min
            (director's cut)","Color:
        Color","Language:
        English","Budget:$25,000,000
            (estimated)","Gross USA: $71,985,628",,
12,16 Wishes (2010),"['Drama', 'Family', 'Fantasy']",2010-06-25,5.5,"9,660",['Peter DeLuise (as Peter Deluise)'],['Annie DeYoung (as Annie Deyoung)'],"['Debby Ryan,', 'Jean-Luc Bilodeau,', 'Anna Mae Wills']","A 16-year-old girl prepares a list of 16 wishes for eight years, hoping they will come true on her 16th birthday. A fairy comes to give her 16 candles that make the 16 wishes come true. Her...
                    See full summary »","A 16-year-old girl prepares a list of 16 wishes for eight years, hoping they will come true on her 16th birthday. A fairy comes to give her 16 candles that make the 16 wishes come true. Her wishes go the wrong way and are permanent when midnight comes. She has one final wish to reverse her previous wishes.                Written by
Saja","['wish', '16 year old', '16th birthday', 'remake', 'be careful what you wish for']","Runtime:
        90 min","Color:
        Color","Language:
        English",,,,
13,17 Again (2009),"['Comedy', 'Drama', 'Fantasy']",2009-04-17,6.4,"158,702",['Burr Steers'],['Jason Filardi'],"['Zac Efron,', 'Matthew Perry,', 'Leslie Mann']",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,"At 17 Mike O'Donnell is on top of the world: he's the star of his high school basketball team, is a shoo-in for a college scholarship, and is dating his soul-mate, Scarlet. But at what's supposed to be his big game where a college scout is checking him out, Scarlet reveals that she's pregnant. Mike decides to leave the game and asks Scarlet to marry him, which she does. During their marriage, Mike can only whine about the life he lost because he married her, so she throws him out. When he also loses his job, he returns to the only place he's happy at, his old high school. While looking at his high school photo, a janitor asks him if he wishes he could be 17 again and he says yes. One night while driving he sees the janitor on a bridge ready to jump, and goes after him. When he returns to his friend Ned's house, where he has been staying, he sees that he is 17 again. He decides to take this opportunity to get the life he lost.                Written by
rcs0411@yahoo.com","['school', 'high school', 'friend', 'basketball', 'body transformation']","Runtime:
        102 min","Color:
        Color","Language:
        English","Budget:$20,000,000
            (estimated)","Gross USA: $64,167,069, 6 August 2009",,
14,17 Miracles (2011),"['Adventure', 'History']",2011-06-03,6.4,"1,054",['T.C. Christensen'],"['T.C. Christensen,', 'Gary Cook (additional writer)']","['Jasen Wade,', 'Emily Wadley,', 'Jason Celaya']",The Mormon pioneers trek across the plains.,The Mormon pioneers trek across the plains.,"['snow', 'healing', 'winter', 'hunger', 'miracle']",,"Color:
        Color","Language:
        English",,,,
15,2 Days in New York (2012),"['Comedy', 'Drama', 'Romance']",2012-03-28,6.0,"12,890",['Julie Delpy'],"['Julie Delpy (scenario),', 'Alexia Landeau (scenario)']","['Julie Delpy,', 'Chris Rock,', 'Albert Delpy']","Manhattan couple Marion and Mingus, who each have children from prior relationships, find their comfortable family dynamic jostled by a visit from Marion's relatives.","Marion (Delpy) has broken up with Jack (Two Days in Paris) and now lives in New York with their child. But when her family decides to come visit her, she's unaware that the different cultural background held by her new American boyfriend Mingus (Rock), her eccentric father, and her sister Rose who decided to bring her ex-boyfriend along for the trip, added to her upcoming photo exhibition, will make up for an explosive mix.                Written by
Anonymous","['photo exhibition', 'triple f rated', 'f rated', 'halloween costume', 'princess costume']","Runtime:
        96 min","Color:
        Color","Language:
        English
            |
        French
            |
        Italian","Budget:$8,000,000
            (estimated)","Gross USA: $632,824, 11 November 2012",,
16,2 Days in Paris (2007),"['Comedy', 'Drama', 'Romance']",2007-08-31,6.8,"28,301",['Julie Delpy'],['Julie Delpy'],"['Julie Delpy,', 'Adam Goldberg,', 'Daniel Brühl']","Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends.","2 Jours - 2 Days follows two days in the relationship of a New York based couple - a French photographer Marion and American interior designer Jack - as they attempt to re-infuse their relationship with romance by taking a vacation in Europe. Their trip to Venice didn't really work out, - they both came down with gastroenteritis. They have higher hopes for Paris. But the combination of Marion's overbearing non-English-speaking parents, flirtatious ex-boyfriends, and Jack's obsession with photographing every famous Parisian tombstone and conviction that French condoms are too small, only adds fuel to the fire. Will they be able to salvage their relationship? Will they ever have sex again? Or will they merely manage to perfect the art of arguing?                Written by
Rezo Distribution","['french', 'vacation', 'europe', 'penis', 'chest hair']","Runtime:
        96 min","Color:
        Color","Language:
        English
            |
        French",,"Gross USA: $4,432,981, 2 December 2007",,
17,2012 (2009),"['Action', 'Adventure', 'Sci-Fi']",2009-11-13,5.8,"311,262",['Roland Emmerich'],"['Roland Emmerich,', 'Harald Kloser']","['John Cusack,', 'Thandie Newton,', 'Chiwetel Ejiofor']",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.                Written by
Jim Beaver <jumblejim@prodigy.net>","['apocalypse', 'earthquake', 'end of the world', 'elizabeth i character', '21th century']","Runtime:
        158 min","Color:
        Color","Language:
        English
            |
        French
            |
        Tibetan
            |
        Mandarin
            |
        Russian
            |
        Hindi
            |
        Portuguese
            |
        Latin
            |
        Italian
            |
        Spanish","Budget:$200,000,000
            (estimated)","Gross USA: $166,112,167, 21 February 2010",/offsite/?page-action=offsite-facebook&token=BCYkIo5NbkZMtRFxaA_oKOmtCT0a6xWD-zTLnLsGaj4O99X_AsEv1CmOdzBATeJQGuL-5OqdEMEd%0D%0AxKcl5wW2p-cM7tM1Z58b5UVMUnd_M5TiSgZsWh4JQAL-fDjr1TKt8jAgdzFgoCpohBjRRi0qxTXm%0D%0AaRsLuZvsMyfGslgphYJo9VD0jYrIqgcuOkY1xMKomLUYMIeS39Ll1YNWYJj8_Nsjm2O4tDFkUyff%0D%0Adplu1P6ewtGp-4kKtKKiHXxZ04054Pkpj9U5z4drxQZuJvOLRaND7A%0D%0A&ref_=tt_pdt_ofs_offsite_0,
18,21 (2008),"['Crime', 'Drama', 'Thriller']",2008-03-28,6.8,"205,446",['Robert Luketic'],"['Peter Steinfeld (screenplay),', 'Allan Loeb (screenplay)']","['Jim Sturgess,', 'Kate Bosworth,', 'Kevin Spacey']","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.","Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack. Intrigued by the desire to make money, Ben joins his new friends on secret weekend trips to Las Vegas where, using their skills of code talk and hand signals, they have Ben make hundreds of thousands of dollars in winning blackjack at casino after casino. Ben only wants to make enough money for the tuition to Harvard and then back out. But as fellow card counter, Jill Taylor, predicts, Ben becomes corrupted by greed ...                Written by
matt-282","['based on true story', 'card counting', 'blackjack', 'massachusetts institute of technology', 'gambling']","Runtime:
        123 min","Color:
        Color","Language:
        English","Budget:$35,000,000
            (estimated)","Gross USA: $81,159,365",/offsite/?page-action=offsite-facebook&token=BCYnqU6rQJ53MwfL-7MxZNzxcatVYc7C-38jMae4NjjSBLPYUgL7qaP9W-SOIGHdDSrbwYCjf9Tm%0D%0AnS54pct4brHe_zm0jV-57OffKZALh1-9nreaAZi6GsJZnHd-KlFIXYlRpq9yQJ4vYl75lAfrp-b5%0D%0AL0Nn-ZeCa1MxcBBtYEFnA03qxV6hrXEfuviXSnTlAJsoWA4Tgl1D96UzJzj31W_HECRehBoPN14x%0D%0AVmiBAcr3HLQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,
19,21 & Over (2013),['Comedy'],2013-03-01,5.9,"66,050","['Jon Lucas,', 'Scott Moore']","['Jon Lucas,', 'Scott Moore']","['Miles Teller,', 'Justin Chon,', 'Jonathan Keltz']","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","When Straight-A college student Jeff Chang's two best friends take him out for his 21st birthday on the night before an important medical school interview, what was supposed to be a quick beer becomes a night of humiliation, over indulgence and utter debauchery.                Written by
Relativity","['man wearing a sock over the penis', 'talking about sex', 'male wearing bra', 'pubic hair', '21st birthday']","Runtime:
        93 min","Color:
        Color","Language:
        English
            |
        Spanish","Budget:$13,000,000
            (estimated)","Gross USA: $25,682,380",/offsite/?page-action=offsite-facebook&token=BCYi855FuMxmcTChbblgYO1ga4hJleexurjiOtAkIYyoXstLm3RkU8F7GZlqNAgRkC1yx2ZzRo2A%0D%0A_Xb6SUWlW4IyBG6-aOd85dKBqg8x4Ln2I1SWzbA43hBYE7YIV2EXR8kzmrupS7GSs4-TlBZjb27V%0D%0ApXFjQ7hBP-Y50J6GEwffLZxNbf6Ybo0p3Bc9nFXC084xWTO0m5GVLAjUqXQEOUWR3IiNU3KAzPmt%0D%0AACL3RSXfVAo%0D%0A&ref_=tt_pdt_ofs_offsite_0,
20,21 Jump Street (2012),"['Action', 'Comedy', 'Crime']",2012-03-16,7.2,"452,965","['Phil Lord,', 'Christopher Miller']","['Michael Bacall (screenplay),', 'Michael Bacall (story)']","['Jonah Hill,', 'Channing Tatum,', 'Ice Cube']",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"In high school, Schmidt (Jonah Hill) was a dork and Jenko (Channing Tatum) was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.                Written by
Douglas Young (the-movie-guy)","['remake', 'undercover cop', 'drug', 'police', 'parody']","Runtime:
        109 min","Color:
        Color","Language:
        English","Budget:$42,000,000
            (estimated)","Gross USA: $138,447,667, 1 July 2012",/offsite/?page-action=offsite-facebook&token=BCYlgYZKjR6YPxKuBNyIKTEsU6QaZH-3E-etRnaF4gF57bg2ev3xuwkK7XrKX_oFgl5Mc8xxFln8%0D%0AlxUNsm7EjAVVIo2I2r63B4HoHMpE_VFXfxkKBWTozDS05gcqkPZARDnEV0z9qpceiuTGEJJt1V1D%0D%0AR0D_nA-Lm7Z0hsx8pACG0_dRIflUpDkd_vg8bo4sShBzHcKEG5okXo8V885lEIxu1uRaPY4j6MPc%0D%0AAn6ml0QOz1E%0D%0A&ref_=tt_pdt_ofs_offsite_0,
21,27 Dresses (2008),"['Comedy', 'Romance']",2008-01-18,6.1,"136,845",['Anne Fletcher'],['Aline Brosh McKenna'],"['Katherine Heigl,', 'James Marsden,', 'Malin Akerman']","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","Two things about Jane: she never says no to her friends (she's been a bridesmaid 27 times and selflessly plans friends' weddings), and she's in love with her boss, George, nurturing dreams of a lovely, romantic wedding of her own. She meets Kevin, a cynical writer who finds her attractive, and that same week her flirtatious younger sister Tess comes to town. Jane silently watches George fall for Tess, a manipulative pretender. Worse, Jane may be called upon to plan their wedding. Meanwhile, Kevin tries to get Jane's attention and has an idea that may advance his career. Can Jane uncork her feelings?                Written by
<jhailey@hotmail.com>","['car', 'automobile', 'ford', 'ford crown victoria', 'volvo']","Runtime:
        111 min","Color:
        Color","Language:
        English","Budget:$30,000,000
            (estimated)","Gross USA: $76,808,654, 29 May 2008",,
22,28 Weeks Later (2007),"['Drama', 'Horror', 'Sci-Fi']",2007-05-11,7.0,"231,011",['Juan Carlos Fresnadillo'],"['Rowan Joffe (screenplay),', 'Juan Carlos Fresnadillo (screenplay)']","['Jeremy Renner,', 'Rose Byrne,', 'Robert Carlyle']","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.","28 Weeks Later picks up six months after the Rage Virus has decimated the city of London. The US Army has restored order and is repopulating the quarantined city, when a carrier of the Rage Virus enters London and unknowingly re-ignites the spread of the deadly infection and the nightmare begins... again.                Written by
Anonymous","['infection', 'tied up while barefoot', 'tied feet', 'killed by a propeller', 'rage']","Runtime:
        100 min","Color:
        Color","Language:
        English","Budget:$15,000,000
            (estimated)","Gross USA: $28,638,916",,
23,3 Idiots (2009),"['Comedy', 'Drama']",2009-12-25,8.4,"267,429",['Rajkumar Hirani'],"['Rajkumar Hirani (screenplay),', 'Abhijat Joshi (screenplay)']","['Aamir Khan,', 'Madhavan,', 'Mona Singh']","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.                Written by
rAjOo (gunwanti@hotmail.com)","['bollywood', 'against the system', 'suicide', 'suicide attempt', 'friend']","Runtime:
        170 min","Color:
        Color","Language:
        Hindi
            |
        English","Budget:INR 550,000,000
            (estimated)","Gross USA: $6,532,908, 7 March 2010",,
24,"3, 2, 1... Frankie Go Boom (2012)",['Comedy'],2012-03-10,6.0,"4,396",['Jordan Roberts'],['Jordan Roberts (screenplay)'],"['Charlie Hunnam,', ""Chris O'Dowd,"", 'Lizzy Caplan']","Frank Bartlett has been tortured, embarrassed, and humiliated by his brother Bruce -- usually on film -- his entire life. Now that Bruce is finally off drugs and has turned his life around, things should be different. They are not.","Frank Bartlett has been tortured, embarrassed, and humiliated by his brother Bruce -- usually on film -- his entire life. Now that Bruce is finally off drugs and has turned his life around, things should be different. They are not.","['jock strap', 'male objectification', 'bare chested male', 'man wearing a jock strap', 'masturbation reference']","Runtime:
        89 min","Color:
        Color","Language:
        English",,,/offsite/?page-action=offsite-facebook&token=BCYpsulvJKHIL3m0YVOHs8wu5yKleKy_jkMsm-tmOdD8nQ6e5f9JltIUkfAEpAiGQuTO7-iMWiGi%0D%0AJ0W-CIwnKHLrjsEPrtfo9Rw_y6yIACv-ElVEMqWlPfc3653yxKiPL9a0ph9-FwGt7LloEYjUgrHd%0D%0AqowTBoj949QaMQYNUY1XZY3gLMSA8NX1g98IL7YofVSGVK0W9LhuC3VY6uMvzcHt0yuJLvsjFXTp%0D%0AX5gx2ogPNAs%0D%0A&ref_=tt_pdt_ofs_offsite_0,
